,,,,,,trt,C,C,C,C,T,T,T,T,T,T,T,T,C,C,C,C,C,T,T,T,T,T,T,T,T,T,T,T,T,C,C,C,C,C,T,T,T,T,T,T,C,C,C,C,C,T,T,T,T,T,T,T,T,T,T,C,T,T,T,T,T,T,T,T,T,C,C,C,C,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
,,,,,,lim,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,NA,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
,,,,,,cID,N1,N1,N1,N1,N2,N2,N2,N3,N3,N5,N5,N5,N1,N1,N1,N1,N1,N2,N2,N2,N2,N3,N3,N3,N3,N3,N5,N5,N5,N1,N1,N1,N1,N1,N2,N2,N3,N3,N3,N3,N1,N1,N1,N1,N1,N2,N2,N2,N2,N2,N3,N3,N3,N3,N5,N1,N2,N3,N3,N3,N3,N3,N5,N5,N5,N1,N1,N1,N1,N2,N2,N2,N2,N2,N3,N3,N3,N3,N5,N5,N5,N2,N2,N5,N5,NA,NA,P1,P1,P1,P1,P3,P3,P3,P3,P1,P1,P3,P3,P3,P3,P1,P1,P1,P1,P1,P3,P3,P3,P3,P3,P1,P1,P1,P1,P3,P3,P3,P3,P1,P1,P1,P1,P1,P3,P3,P3,P3,P1,P1,P1,P1,P1,P3,P3,P3,P3,P1,P1,P3,P3,P3,P3,P3,P2,P2,P2,P2,P2,P4,P4,P4,P4,P5,P2,P2,P2,P5,P5,P5,P2,P2,P2,P2,P4,P4,P4,P5,P5,P5,P5,P2,P2,P2,P2,P2,P4,P4,P4,P4,P4,P5,P5,P5,P5,P5,P2,P2,P2,P2,P2,P4,P4,P4,P4,P4,P5,P5,P5,P5,P5,P2,P2,P2,P2,P2,P2,P4,P4,P4,P5,P5,P5,P2,P2,P2,P2,P4,P4,P4,P5,P5,P5,P5,P5
,,,,,,daynumber,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,23,23,23,23,23,23,23,23,23,23,23,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,100,100,100,100,100,100,100,100,100,100,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,166,166,166,166,NA,-125,-6,-6,-6,-6,-6,-6,-6,-6,9,9,9,9,9,9,23,23,23,23,23,23,23,23,23,23,72,72,72,72,72,72,72,72,100,100,100,100,100,100,100,100,100,129,129,129,129,129,129,129,129,129,166,166,166,166,166,166,166,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,9,9,9,9,9,9,23,23,23,23,23,23,23,23,23,23,23,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,129,129,129,129,129,129,129,129,129,129,129,129,166,166,166,166,166,166,166,166,166,166,166,166
,,,,,,tm.pt,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,21,21,21,21,WH8101,WH7803,1,1,1,1,1,1,1,1,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,19,19,19,19,19,19,19,19,19,21,21,21,21,21,21,21,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,21,21,21,21,21,21,21,21,21,21,21,21
,,,,,,iso,2,3,4,5,1,3,4,2,3,1,3,4,2,3,4,5,1,3,4,5,1,1,2,3,4,5,2,4,1,3,5,4,2,2,4,5,2,3,4,4,1,3,5,4,2,1,3,5,2,4,1,2,3,4,4,1,1,4,1,2,3,5,1,4,5,5,1,2,4,2,3,1,4,5,1,1,2,5,5,2,3,4,2,3,5,NA,4,2,3,4,5,1,2,4,5,1,5,1,2,4,5,1,2,3,5,4,1,2,3,4,5,1,2,4,3,2,3,4,5,2,1,3,4,5,1,2,4,3,2,1,3,4,5,4,2,1,3,3,5,1,3,4,5,2,1,2,3,4,5,2,3,4,5,1,2,3,4,3,5,4,1,2,3,5,1,4,5,4,2,1,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,5,4,5,3,4,1,2,1,2,3,4,5,2,2,1,3,4,5,1,2,5,2,3,5,3,4,5,2,2,4,1,1,2,4,3,5
trt,lim,cID,daynumber,tm.pt,iso,iso.id,01N1S2,01N1S3,01N1S4,01N1S5,01N2S1,01N2S3,01N2S4,01N3S2,01N3S3,01N5S1,01N5S3,01N5S4,03N1S2,03N1S3,03N1S4,03N1S5,03N1S1,03N2S3,03N2S4,03N2S5,03N2S1,03N3S1,03N3S2,03N3S3,03N3S4,03N3S5,03N5S2,03N5S4,03N5S1,05N1S3,05N1S5,05N1S4,05N1S2,05N1S2,05N2S4,05N2S5,05N3S2,05N3S3,05N3S4,05N3S4,12N1S1,12N1S3,12N1S5,12N1S4,12N1S2,12N2S1,12N2S3,12N2S5,12N2S2,12N2S4,12N3S1,12N3S2,12N3S3,12N3S4,12N5S4,16N1S1,16N2S1,16N3S4,16N3S1,16N3S2,16N3S3,16N3S5,16N5S1,16N5S4,16N5S5,19N1S5,19N1S1,19N1S2,19N1S4,19N2S2,19N2S3,19N2S1,19N2S4,19N2S5,19N3S1,19N3S1,19N3S2,19N3S5,19N5S5,19N5S2,19N5S3,21N2S4,21N2S2,21N5S3,21N5S5,WH8101,WH7803,01P1S2,01P1S3,01P1S4,01P1S5,01P3S1,01P3S2,01P3S4,01P3S5,03P1S1,03P1S5,03P3S1,03P3S2,03P3S4,03P3S5,05P1S1,05P1S2,05P1S3,05P1S5,05P1S4,05P3S1,05P3S2,05P3S3,05P3S4,05P3S5,12P1S1,12P1S2,12P1S4,12P1S3,12P3S2,12P3S3,12P3S4,12P3S5,16P1S2,16P1S1,16P1S3,16P1S4,16P1S5,16P3S1,16P3S2,16P3S4,16P3S3,19P1S2,19P1S1,19P1S3,19P1S4,19P1S5,19P3S4,19P3S2,19P3S1,19P3S3,21P1S3,21P1S5,21P3S1,21P3S3,21P3S4,21P3S5,21P3S2,01P2S1,01P2S2,01P2S3,01P2S4,01P2S5,01P4S2,01P4S3,01P4S4,01P4S5,01P5S1,03P2S2,03P2S3,03P2S4,03P5S3,03P5S5,03P5S4,05P2S1,05P2S2,05P2S3,05P2S5,05P4S1,05P4S4,05P4S5,05P5S4,05P5S2,05P5S1,05P5S5,12P2S1,12P2S2,12P2S3,12P2S4,12P2S5,12P4S1,12P4S2,12P4S3,12P4S4,12P4S5,12P5S1,12P5S2,12P5S3,12P5S4,12P5S5,16P2S1,16P2S2,16P2S3,16P2S5,16P2S4,16P4S5,16P4S3,16P4S4,16P4S1,16P4S2,16P5S1,16P5S2,16P5S3,16P5S4,16P5S5,19P2S2,19P2S2,19P2S1,19P2S3,19P2S4,19P2S5,19P4S1,19P4S2,19P4S5,19P5S2,19P5S3,19P5S5,21P2S3,21P2S4,21P2S5,21P2S2,21P4S2,21P4S4,21P4S1,21P5S1,21P5S2,21P5S4,21P5S3,21P5S5
T,NA,RIM8-1,0,NA,1,NARIM8-11,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,NA,1,1,1,1,1,0,1,1,1,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,NA,0,0,1,0,1,1,,1,1,1,0,0,1,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N2,9,3,1,3N21,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,1,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N2,9,3,2,3N22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N3,9,3,1,3N31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N3,9,3,2,3N32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N5,9,3,1,3N51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,0,1,0,0,1,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N5,9,3,2,3N52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,1,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N2,23,5,2,5N22,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N2,23,5,2,5N22,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N2,23,5,3,5N23,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N3,23,5,1,5N31,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,NA,1,1,1,1,1,0,1,1,1,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N3,23,5,2,5N32,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,1,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,NA,0,0,1,1,1,1,NA,0,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N3,23,5,3,5N33,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,NA,0,1,1,0,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,0,0,1,1,NA,1,1,1,1,1
T,N,N5,23,5,1,5N51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,1,1,NA,0,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N5,23,5,2,5N52,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,NA,0,0,1,1,1,1,NA,0,1,1,0,0,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,1,0,1,1,NA,1,1,1,1,1
T,N,N5,23,5,3,5N53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,0,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,NA,NA,0,0,1,1,NA,0,1,1,1,1
